日付2,日付,始値,高値,安値,終値,出来高,調整後終値*
2022-08-05,2022年8月5日,3950,3985,3935,3985,471600,3985
2022-08-04,2022年8月4日,4000,4005,3950,3950,498700,3950
2022-08-03,2022年8月3日,4000,4035,3970,3985,501500,3985
2022-08-02,2022年8月2日,3985,4065,3965,4000,791500,4000
2022-08-01,2022年8月1日,4040,4090,3910,3955,1074000,3955
2022-07-29,2022年7月29日,4030,4040,3990,4025,720600,4025
2022-07-28,2022年7月28日,4090,4100,4055,4060,409900,4060
2022-07-27,2022年7月27日,4155,4165,4110,4115,292500,4115
2022-07-26,2022年7月26日,4180,4185,4140,4160,277600,4160
2022-07-25,2022年7月25日,4145,4180,4130,4160,233800,4160
2022-07-22,2022年7月22日,4185,4185,4130,4145,226900,4145
2022-07-21,2022年7月21日,4070,4180,4070,4155,296800,4155
2022-07-20,2022年7月20日,4100,4125,4075,4110,387200,4110
2022-07-19,2022年7月19日,4125,4125,4060,4095,260000,4095
2022-07-15,2022年7月15日,4150,4175,4090,4115,463800,4115
2022-07-14,2022年7月14日,4170,4185,4135,4170,250900,4170
2022-07-13,2022年7月13日,4235,4235,4185,4185,257300,4185
2022-07-12,2022年7月12日,4285,4290,4195,4210,403400,4210
2022-07-11,2022年7月11日,4320,4325,4280,4285,306000,4285
2022-07-08,2022年7月8日,4330,4330,4255,4300,480300,4300
